,PA01H:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RUR_S:PM25,BP_EST:PM25,VITRY:PM25,A1:PM25,AUT:PM25,GEN:PM25,RAMBO:PM25,BOB:PM25,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Zone Rurale Sud - Bois Herpin,Boulevard Périphérique Est,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Boulevard Péripherique Auteuil,GENNEVILLIERS,Rambouillet,BOBIGNY,0
,PA01H,RN6,RUR_N,RUR-SE,GON,RUR_S,BP_EST,VITRY,A1,AUT,GEN,RAMBO,BOB,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2020/03/24 15:00:00+00,6.400000,13.300000,4.900000,6.900000,9.300000,6.300000,9.100000,7.400000,7.600000,5.900000,,7,8,2011
2020/03/24 16:00:00+00,8.300000,9.800000,4.100000,5.100000,8.300000,6.300000,6.800000,7,5.200000,6.600000,,7,6.100000,2012
2020/03/24 17:00:00+00,9.800000,8.600000,7.300000,5.100000,7.400000,16.600000,8.700000,8.700000,8.200000,12.600000,,5.900000,7.300000,2013
2020/03/24 18:00:00+00,10.600000,7.900000,6.900000,7.300000,5.800000,9.600000,10.100000,9.400000,8.500000,11.200000,,9.700000,9,2014
2020/03/24 19:00:00+00,10.700000,16.400000,9.300000,6.500000,21,12.600000,16.500000,8.200000,9.500000,12.700000,,12.100000,12.400000,2015
2020/03/24 20:00:00+00,11.700000,12.300000,12.700000,6.200000,13.600000,12.800000,12,11.300000,11.900000,20.100000,,10.100000,13.500000,2016
2020/03/24 21:00:00+00,11.800000,11.900000,14.100000,4.200000,13.700000,9,14,12.600000,15.100000,13.600000,,12.100000,15.200000,2017
2020/03/24 22:00:00+00,12.300000,11.300000,14,8.100000,15.400000,11,13.300000,12.500000,14,13,,10.500000,17.200000,2018
2020/03/24 23:00:00+00,10.800000,10.200000,16.700000,13.900000,11.500000,11.600000,12.400000,11.300000,15.200000,10.500000,,11,14.300000,2019
2020/03/25 00:00:00+00,11.600000,10.400000,10.500000,9.700000,14.300000,15.500000,13.700000,15.200000,15.100000,15.100000,,12,11.600000,2020
2020/03/25 01:00:00+00,14,10.700000,16.400000,12.300000,14.600000,9.100000,15.100000,13.300000,12.300000,13.200000,,13.500000,14.400000,2021
2020/03/25 02:00:00+00,13.600000,15.400000,12.400000,12.300000,14.900000,11.200000,14.500000,16.200000,12,12.100000,,11.700000,15.100000,2022
2020/03/25 03:00:00+00,12.900000,17,13.400000,11,13.400000,16.400000,12,13.200000,18.400000,14.800000,,11.400000,9.500000,2023
2020/03/25 04:00:00+00,13.200000,9.700000,10.700000,15.700000,15.400000,12.800000,13.700000,16.300000,14.100000,16.400000,,13.700000,15.200000,2024
2020/03/25 05:00:00+00,11.900000,10.500000,12.600000,11.500000,16.600000,10.900000,14.200000,13.500000,18.700000,15.600000,,10.800000,13.600000,2025
2020/03/25 06:00:00+00,13.200000,15.900000,14.700000,11.600000,17.500000,13.800000,20,13.900000,12.900000,17,,12.700000,19.300000,2026
2020/03/25 07:00:00+00,14.400000,21.900000,11.800000,14.900000,16,10.900000,21.600000,16.700000,15.800000,15.800000,,14.500000,19.500000,2027
2020/03/25 08:00:00+00,15.600000,15.100000,13.700000,16.200000,14.400000,16.300000,21.200000,14.800000,21.200000,20.400000,,14,17.700000,2028
2020/03/25 09:00:00+00,18.100000,13.200000,12,16.300000,18.100000,15.100000,16.100000,,14,16.500000,,11.300000,15.900000,2029
2020/03/25 10:00:00+00,16.200000,22.600000,16.300000,11.100000,18,16.300000,15.700000,,13.400000,16.200000,,10.600000,13.500000,2030
2020/03/25 11:00:00+00,18.600000,19.200000,13.700000,9.200000,15.500000,15,18.200000,,13.900000,21.700000,,11.500000,18.100000,2031
2020/03/25 12:00:00+00,18.600000,14.900000,12.800000,10.600000,14.100000,18.500000,17.800000,,16.900000,20.400000,,11.900000,15.200000,2032
2020/03/25 13:00:00+00,16.300000,18.500000,11.500000,12.300000,15.400000,12.200000,17.300000,18.200000,14.100000,14.600000,,8.500000,13.100000,2033
2020/03/25 14:00:00+00,15.700000,7.700000,14,13.700000,12.400000,16.200000,16.200000,13.800000,12.700000,13.700000,,13.500000,12.300000,2034
2020/03/25 15:00:00+00,14.300000,12,13,10.900000,15,18.300000,15.500000,14,12.400000,13.400000,,9.800000,11.400000,2035
2020/03/25 16:00:00+00,18.400000,18,13.300000,8.900000,13.900000,24.900000,14.200000,15.500000,15,20.200000,,7.400000,13.700000,2036
2020/03/25 17:00:00+00,14.400000,20.100000,16.200000,13.600000,14.500000,19,13.600000,13.900000,13.200000,16.200000,,10.800000,18.700000,2037
2020/03/25 18:00:00+00,13.500000,15.200000,16.900000,14.500000,17.400000,18.300000,16.900000,15.300000,14.400000,17,,10.400000,13.200000,2038
2020/03/25 19:00:00+00,14.600000,15.700000,25,13.600000,25.200000,15.100000,22.700000,24.100000,24.600000,22.100000,,18.900000,18.900000,2039
2020/03/25 20:00:00+00,24.400000,17.100000,26.100000,14.100000,23.400000,16.600000,28.800000,26.500000,25.500000,23.300000,,22.200000,24.800000,2040
2020/03/25 21:00:00+00,25,17.300000,19,13.200000,26.300000,20.300000,26.400000,31.800000,27.900000,24.400000,,25,25.800000,2041
2020/03/25 22:00:00+00,26.200000,11.600000,24.700000,11,27.300000,20.800000,26.800000,37.300000,21.800000,28.700000,,25.700000,26.600000,2042
2020/03/25 23:00:00+00,21.500000,17.700000,18.700000,13.100000,20.900000,16.500000,21.500000,26.300000,20.400000,23.400000,,24.100000,25.700000,2043
2020/03/26 00:00:00+00,18.800000,11.100000,17.200000,11.600000,20.100000,17.600000,19.100000,24.500000,21.200000,16.600000,,13.500000,21,2044
2020/03/26 01:00:00+00,16.500000,14.700000,17.800000,12.400000,17.200000,16.200000,20.700000,20.500000,13.600000,29.600000,,12.100000,18.600000,2045
2020/03/26 02:00:00+00,16.600000,14.100000,17.600000,12.400000,13.400000,14.800000,15.300000,10.700000,13.300000,12.600000,,13.800000,15.900000,2046
2020/03/26 03:00:00+00,14.300000,11.500000,16,12.800000,15.400000,19,15.400000,14,18.300000,22.400000,,14,16.700000,2047
2020/03/26 04:00:00+00,15.800000,16.600000,18.900000,12,20,15.400000,17.900000,17.300000,17.200000,19.800000,,17.200000,18.600000,2048
2020/03/26 05:00:00+00,15,15.400000,17.300000,14.100000,16,13.800000,13.600000,16.300000,14.900000,18.500000,,20.600000,14.800000,2049
2020/03/26 06:00:00+00,13.900000,19.500000,18.500000,13,16.300000,15.500000,20.400000,21.100000,15.200000,17.300000,,18.100000,18.400000,2050
2020/03/26 07:00:00+00,17.400000,20.100000,15.400000,13.900000,20.400000,15.400000,22.300000,15.800000,19.100000,23.800000,,17.200000,18.400000,2051
2020/03/26 08:00:00+00,17.600000,18.900000,16.800000,14.700000,17.600000,15.700000,19.200000,21.100000,17.600000,17.400000,,15.300000,17.600000,2052
2020/03/26 09:00:00+00,,25.500000,17.200000,13.400000,19.800000,16.300000,18.200000,16,18.700000,20.900000,,16.400000,14.100000,2053
2020/03/26 10:00:00+00,18.600000,21.800000,14.200000,11.400000,18.200000,22.900000,16.600000,19.600000,16,18.100000,,12.300000,17.100000,2054
2020/03/26 11:00:00+00,17,18.500000,12,15.300000,16.200000,22.200000,17.700000,17.600000,15.200000,19,,14.900000,16.500000,2055
2020/03/26 12:00:00+00,16.400000,13.600000,13.600000,10.500000,15,23.600000,19.200000,17.600000,13.700000,14,,15.500000,15.200000,2056
2020/03/26 13:00:00+00,11.900000,15.400000,11.800000,12.600000,15.500000,27,13.600000,13.200000,11.500000,20.400000,,15.100000,14,2057
2020/03/26 14:00:00+00,12.700000,17.700000,9.700000,14.800000,15.600000,17.800000,19.100000,15.100000,13.500000,16.400000,,17,11.900000,2058
2020/03/26 15:00:00+00,13.600000,16.200000,9.200000,13.100000,15.700000,20.200000,13.500000,16.900000,11.100000,18.500000,,13.100000,14.800000,2059
2020/03/26 16:00:00+00,12.100000,13.400000,11.400000,11,15.400000,20.500000,18.600000,15,13.500000,17.100000,,15.900000,11,2060
2020/03/26 17:00:00+00,13.600000,17.400000,11.400000,13.700000,11.500000,23,14.600000,19.400000,13.400000,12.500000,,13.400000,11.100000,2061
2020/03/26 18:00:00+00,10.600000,14.900000,15.900000,10.800000,11.600000,19.200000,12.900000,19.500000,12.600000,17.600000,,14.200000,10.900000,2062
2020/03/26 19:00:00+00,12.100000,20.600000,10.900000,8.300000,16.500000,27.800000,20.100000,23.500000,16,16.900000,,15,20.200000,2063
2020/03/26 20:00:00+00,16.100000,24.100000,14.100000,15.400000,19.400000,18.900000,22.900000,24.700000,17.300000,21.900000,,17.800000,23.400000,2064
2020/03/26 21:00:00+00,16.400000,21,20,16.600000,24.300000,19.200000,24.300000,25.600000,24.100000,14.500000,,24,26.400000,2065
2020/03/26 22:00:00+00,18,18.200000,24.800000,11.900000,21.100000,22.400000,20,28.500000,21.500000,17.900000,,23.900000,22.300000,2066
2020/03/26 23:00:00+00,19.300000,23.200000,25.600000,19.900000,26.700000,31.300000,19.100000,21.900000,24.200000,24.400000,,25.500000,17.900000,2067
2020/03/27 00:00:00+00,21.700000,22.200000,23.400000,13.800000,27.600000,24.500000,24.100000,18.500000,21.700000,25.100000,,33.300000,23.700000,2068
2020/03/27 01:00:00+00,22.500000,23.500000,24.600000,18.500000,24.500000,26.600000,20.500000,23.500000,23.800000,27.900000,,33.200000,25.200000,2069
2020/03/27 02:00:00+00,21.900000,21.900000,20.700000,16.300000,21.100000,26.700000,23.500000,21.600000,23.300000,25.700000,,23.600000,23.800000,2070
2020/03/27 03:00:00+00,20.800000,21.400000,20,15.400000,21.400000,23.200000,21.700000,23.800000,23.100000,27.400000,,22.100000,25.300000,2071
2020/03/27 04:00:00+00,19.200000,19.400000,20,13.700000,20.500000,27.200000,22.600000,21.300000,22.500000,28.900000,,24.400000,24.300000,2072
2020/03/27 05:00:00+00,22.200000,18.400000,23.900000,15.700000,21.100000,25.400000,24.700000,23.600000,25.700000,28.200000,,20.700000,20.400000,2073
2020/03/27 06:00:00+00,23.700000,20,27.200000,17.200000,24.200000,23.500000,25.500000,22.700000,24.400000,29.400000,,21.600000,23.100000,2074
2020/03/27 07:00:00+00,23.200000,20.400000,23.200000,18.900000,27,22.200000,27.100000,24.800000,29.100000,30,,21.300000,23.500000,2075
2020/03/27 08:00:00+00,26.200000,22,31.100000,14.700000,29.600000,23.900000,29.700000,30.700000,31.900000,32.500000,,22.600000,28.300000,2076
2020/03/27 09:00:00+00,27.800000,20,30.200000,16.400000,27.900000,23.800000,26.700000,28.400000,28.300000,33.300000,,22.400000,30.200000,2077
2020/03/27 10:00:00+00,26.900000,21.100000,25.600000,14.600000,29.700000,27.300000,26.800000,22.900000,25,29.400000,,21.400000,29.500000,2078
2020/03/27 11:00:00+00,28.100000,23.500000,24.300000,14.100000,23.700000,22.100000,23.900000,23.700000,24.200000,28.900000,,22.600000,25.400000,2079
2020/03/27 12:00:00+00,26.100000,19,23.600000,12.600000,22.600000,22.100000,22,24.300000,24.800000,29.500000,30,19,19.900000,2080
2020/03/27 13:00:00+00,20.900000,21,23.200000,11,19.500000,25.300000,18.700000,18.600000,20.900000,24.800000,29,23.900000,24.200000,2081
2020/03/27 14:00:00+00,19.500000,24.700000,29,21.100000,24.600000,30.500000,23.500000,19.900000,19.200000,18.700000,27,21,22.500000,2082
2020/03/27 15:00:00+00,31,22.800000,23.900000,20.800000,28,21.700000,27.900000,23.300000,22,27.900000,28,23.900000,25.200000,2083
2020/03/27 16:00:00+00,22.500000,23.400000,21.700000,19,25.100000,26.200000,22.800000,23.300000,25.300000,23.600000,30.800000,20,21.900000,2084
2020/03/27 17:00:00+00,31.800000,26.200000,24.500000,22.700000,30.600000,24.700000,30.300000,27.300000,30.300000,31.900000,31.400000,24,28.300000,2085
2020/03/27 18:00:00+00,31,27,28,18.300000,29.600000,25.200000,31.400000,29.300000,29.700000,29.900000,34,27.100000,27.900000,2086
2020/03/27 19:00:00+00,29.600000,63.100000,33,20.200000,32.300000,29.900000,30,34.300000,33.300000,38.600000,35.600000,34,30.700000,2087
2020/03/27 20:00:00+00,32.700000,49.600000,33,20.200000,30.900000,29.600000,31.500000,37.200000,40.900000,32.900000,41,35,34.900000,2088
2020/03/27 21:00:00+00,37.700000,53.900000,35.800000,24.200000,36.200000,35.100000,40.700000,29.200000,42.400000,39.600000,43.100000,45.200000,39.400000,2089
2020/03/27 22:00:00+00,36.300000,49.100000,36.800000,24.700000,40.600000,43.500000,37.900000,36.200000,35.100000,42.900000,44.800000,42,39,2090
2020/03/27 23:00:00+00,40.700000,54.400000,39.100000,33.300000,39.200000,42.100000,49.800000,39.900000,38.300000,47.500000,47,38,46.600000,2091
2020/03/28 00:00:00+00,41.800000,67.300000,47.800000,37.100000,43.400000,42.300000,42.700000,41.600000,47,50.700000,52,39.100000,42.700000,2092
2020/03/28 01:00:00+00,44.300000,64.200000,44.400000,38.900000,43.600000,43.300000,42.100000,43.800000,45.800000,50.900000,56.300000,39.800000,48.500000,2093
2020/03/28 02:00:00+00,48.600000,65.500000,47.300000,41,48.600000,46.700000,46.500000,46.500000,48.100000,53.600000,57,44.600000,49.400000,2094
2020/03/28 03:00:00+00,49.300000,50.400000,46.700000,44.900000,44.900000,41.800000,51.900000,51.200000,51.900000,54.300000,57.800000,45.100000,49.700000,2095
2020/03/28 04:00:00+00,52.300000,55.800000,53.600000,47.700000,52.200000,49.600000,52,53.800000,50.500000,52.600000,59.400000,45.200000,52.100000,2096
2020/03/28 05:00:00+00,54.200000,50.800000,55.100000,45.400000,54.600000,51.600000,56.800000,55.800000,51.900000,53.800000,60.300000,48.400000,57.400000,2097
2020/03/28 06:00:00+00,57.100000,51.800000,57.500000,48.400000,51.700000,51.600000,58.600000,74.300000,61.300000,61.400000,60.300000,44.100000,55.900000,2098
2020/03/28 07:00:00+00,58.300000,50.400000,55.700000,51.900000,53.800000,51.300000,62.900000,58.400000,61.300000,60.700000,63.500000,48,57.300000,2099
2020/03/28 08:00:00+00,57.800000,57.300000,59.200000,51.600000,56.500000,57.900000,60.100000,63.800000,58.900000,56.900000,67.100000,50.300000,58.400000,2100
2020/03/28 09:00:00+00,59.600000,56.100000,50.400000,49.500000,55.700000,58.300000,59.400000,59.600000,53.700000,61.500000,69.600000,54.700000,59.500000,2101
2020/03/28 10:00:00+00,60.300000,53.500000,47.700000,45,52,56.900000,55.400000,55.200000,55.200000,58.500000,66.500000,48.300000,55.600000,2102
2020/03/28 11:00:00+00,58.300000,49.900000,47.300000,33.900000,49.300000,46.300000,54.600000,50.200000,47.200000,57.700000,62.900000,44.400000,52,2103
2020/03/28 12:00:00+00,54.100000,41.100000,45.400000,31.300000,45.500000,47,49.800000,45.400000,47.200000,50.800000,60.900000,46.600000,48.100000,2104
2020/03/28 13:00:00+00,52.400000,39.900000,43.600000,25.200000,44.800000,35.200000,51.200000,41,48.600000,48.600000,56.100000,41.700000,45.900000,2105
2020/03/28 14:00:00+00,51,38.100000,47.100000,32.100000,47.100000,39.200000,42.200000,44.800000,39.500000,39.300000,56.100000,39.700000,42,2106
2020/03/28 15:00:00+00,50.400000,40.900000,45,31.500000,50.900000,45.200000,43.800000,41,46.900000,44.200000,57,35,42.900000,2107
2020/03/28 16:00:00+00,51.700000,40.200000,42.100000,36.700000,43,43.400000,41.800000,41.800000,44.900000,45,56.600000,44.700000,42.300000,2108
2020/03/28 17:00:00+00,51.300000,42.800000,36.200000,37,43.100000,48.600000,45.300000,41.600000,40.800000,41.300000,54,42.100000,43.800000,2109
2020/03/28 18:00:00+00,44.600000,38.700000,33.100000,42.700000,37.700000,48.900000,40.400000,44.300000,40.200000,40.800000,50.200000,44.100000,42.800000,2110
2020/03/28 19:00:00+00,38.400000,45.200000,25,41.200000,27.400000,47.900000,33,37.400000,29.500000,32.200000,38.500000,37.700000,36.900000,2111
2020/03/28 20:00:00+00,30.800000,29.500000,11.800000,37.700000,17.900000,39.200000,26.500000,25.200000,21,22.200000,27,28.800000,28.300000,2112
2020/03/28 21:00:00+00,20.500000,26.900000,11.600000,30.600000,9.900000,27,14.800000,15.500000,7.200000,15.200000,15.500000,16.500000,12.300000,2113
2020/03/28 22:00:00+00,11.300000,19.100000,10.100000,14.500000,7,19.700000,10.900000,15.800000,10.600000,11.300000,12.100000,10.600000,8.800000,2114
2020/03/28 23:00:00+00,11.400000,14.700000,9.200000,16,9.200000,9.400000,13,11.900000,8.800000,12.300000,11.800000,9,11.300000,2115
2020/03/29 00:00:00+00,9.800000,10.700000,9.800000,7.500000,8.900000,11.100000,10.100000,10.400000,7.700000,8.900000,10.500000,6.600000,13.600000,2116
2020/03/29 01:00:00+00,8.900000,11.400000,9.200000,4.500000,10.800000,12.400000,9.500000,9,7.300000,8.900000,10.800000,3.800000,10.200000,2117
2020/03/29 02:00:00+00,9.100000,10,6.800000,3.800000,8.100000,12.500000,9.200000,11,4.400000,12,9.800000,8.400000,10.800000,2118
2020/03/29 03:00:00+00,7.100000,11.100000,6.800000,5.400000,5.600000,12.800000,7.600000,7.400000,4.100000,8.200000,6.900000,5.900000,9.500000,2119
2020/03/29 04:00:00+00,4.600000,7.700000,4.500000,6.800000,8.900000,7.800000,6.500000,5.600000,9.100000,6,8.900000,5.200000,8.500000,2120
2020/03/29 05:00:00+00,4.500000,6.700000,3.600000,4.600000,6.900000,7.500000,4.800000,6.900000,9.400000,8.800000,7,6.100000,7.200000,2121
2020/03/29 06:00:00+00,4.700000,5.600000,3.700000,4.600000,8.100000,5.700000,6.600000,5.500000,4.900000,7.700000,7.200000,6,5.100000,2122
2020/03/29 07:00:00+00,4.900000,7.500000,3.200000,4.500000,10.200000,8.400000,9,5.300000,3.600000,12.300000,8.600000,3.400000,4.700000,2123
2020/03/29 08:00:00+00,5.900000,10.600000,5.600000,7.100000,16.100000,6.800000,5.600000,8.200000,5.600000,8.700000,9.400000,3.400000,6.500000,2124
2020/03/29 09:00:00+00,5.800000,9,4.700000,6,11.200000,7.600000,5.900000,6.600000,4.400000,6.700000,8.700000,5.200000,7.700000,2125
2020/03/29 10:00:00+00,5.100000,9,2.100000,2.600000,8.300000,4.800000,11.100000,5.500000,2.100000,6.800000,6.700000,4.600000,6.600000,2126
2020/03/29 11:00:00+00,7.700000,11.100000,3.700000,2.300000,7.100000,5.100000,8.500000,6.100000,3.300000,12.900000,6.100000,3.800000,7.600000,2127
2020/03/29 12:00:00+00,7.900000,8.100000,8.700000,3.600000,6.600000,2.700000,7,9.100000,2.300000,8.300000,5.800000,6.800000,7.800000,2128
2020/03/29 13:00:00+00,6.500000,7.700000,8.500000,5,6,1.900000,7,9.300000,1.900000,6.700000,5.100000,7.300000,8.200000,2129
2020/03/29 14:00:00+00,,4.100000,5,3.100000,5.400000,3.900000,8.200000,6.900000,5.300000,3.100000,5.600000,6.800000,7,2130
2020/03/29 15:00:00+00,4.400000,2.100000,4.200000,1.600000,5.600000,9.200000,5.200000,9.200000,0.700000,2.700000,4.900000,4.900000,4.400000,2131
2020/03/29 16:00:00+00,5,3.300000,5.100000,2.600000,5.900000,6.300000,6.200000,8.500000,2.400000,4.200000,5.900000,3.400000,4.900000,2132
2020/03/29 17:00:00+00,6.700000,4.300000,5.600000,2.700000,9.100000,2.400000,7.800000,7.400000,4.500000,6.500000,6,7,5.800000,2133
2020/03/29 18:00:00+00,4.600000,6,6.100000,4,7.600000,5.600000,6.400000,7.800000,8,8.200000,6.600000,7.100000,4.500000,2134
2020/03/29 19:00:00+00,6,7,7.300000,4.200000,7.800000,5,7.200000,8.900000,4.600000,12.900000,6.900000,8.800000,6.900000,2135
2020/03/29 20:00:00+00,5.300000,5.300000,6.200000,5.900000,8.900000,4.600000,8.600000,7.300000,7.400000,7.800000,6.700000,7.700000,6.700000,2136
2020/03/29 21:00:00+00,5.300000,6.100000,4.300000,4.500000,7.900000,5.500000,6.500000,5.100000,4.500000,6.900000,6.100000,5.600000,8.700000,2137
2020/03/29 22:00:00+00,5.600000,4.900000,5.300000,4.400000,7.200000,5,4,4.700000,2.100000,8.500000,5.400000,3.900000,8,2138
2020/03/29 23:00:00+00,3.100000,5.600000,4.600000,4.800000,7.500000,7.900000,3.200000,5.800000,2.700000,6.100000,5.200000,2.600000,8.500000,2139
2020/03/30 00:00:00+00,4.800000,5.300000,5.400000,3.700000,7.300000,5.400000,7.900000,6.900000,3.200000,10.500000,4.700000,4.400000,9.800000,2140
2020/03/30 01:00:00+00,3.900000,6.700000,4.100000,4.200000,6.100000,3.100000,5.500000,5.500000,3,6.400000,4.600000,5,6.900000,2141
2020/03/30 02:00:00+00,4.800000,4.300000,3.200000,2.200000,5.300000,3,3.500000,6.400000,4.400000,4.600000,4.500000,6.400000,6.800000,2142
2020/03/30 03:00:00+00,4.200000,2.400000,3.200000,2.300000,3.400000,2.500000,5.200000,6.500000,4.200000,7,4.300000,5.700000,5.300000,2143
2020/03/30 04:00:00+00,3.200000,3.200000,3.500000,2.800000,5.500000,3.400000,5.600000,6,5.300000,14.100000,4.500000,3.200000,3.700000,2144
2020/03/30 05:00:00+00,4.500000,2.800000,5.600000,4,4.500000,4.700000,6.900000,6.800000,6.300000,9.600000,3.900000,1.100000,4.300000,2145
2020/03/30 06:00:00+00,3.500000,5.900000,4.800000,3.100000,4.400000,4.900000,6.600000,7.200000,6.500000,9.400000,3.900000,6.200000,3.100000,2146
2020/03/30 07:00:00+00,5.300000,4.200000,3.300000,0.700000,4,6.200000,5.300000,4.200000,3.800000,11.500000,4,5.300000,4,2147
2020/03/30 08:00:00+00,5.200000,6.200000,2.700000,1.100000,3.900000,3.700000,6.800000,4,4,10.300000,4,3.400000,5.900000,2148
2020/03/30 09:00:00+00,5.100000,5,1.800000,1.500000,6.900000,3.800000,6.500000,5.200000,4.400000,6.800000,3.400000,2.400000,5.800000,2149
2020/03/30 10:00:00+00,4.300000,4,1,6.500000,5.900000,3.300000,,5.200000,5,6.700000,3.400000,4,4.900000,2150
2020/03/30 11:00:00+00,4.800000,7.700000,3.700000,4.600000,3.300000,3.500000,5.300000,4.600000,4.700000,5.300000,3.600000,4.900000,5.900000,2151
2020/03/30 12:00:00+00,3.300000,7.600000,3.200000,0.900000,1.900000,5,5.400000,4.600000,3.400000,8.700000,3.700000,2.700000,5.500000,2152
2020/03/30 13:00:00+00,6,6.400000,3.800000,0,1.200000,3.600000,7.400000,3.300000,5.300000,7.300000,3.600000,2.200000,5.500000,2153
2020/03/30 14:00:00+00,7.600000,7.600000,5.600000,1.100000,2.300000,3.700000,6.100000,4.300000,6.900000,11.500000,4,2.700000,3.800000,2154
2020/03/30 15:00:00+00,5.400000,6,6.500000,2.900000,4.600000,5.100000,4.200000,9.200000,6.300000,6.400000,4.400000,3.600000,2.700000,2155
2020/03/30 16:00:00+00,2.700000,2.900000,4.400000,2.500000,4.400000,5,7.600000,9.200000,4.700000,4,4.200000,4.300000,4.700000,2156
2020/03/30 17:00:00+00,4.600000,3.300000,2.400000,1.400000,6.300000,3,6,6.600000,5.300000,5.500000,3.500000,5.700000,7.100000,2157
2020/03/30 18:00:00+00,4,5.600000,4.700000,1,7.300000,4.400000,5.300000,7.500000,6.500000,5.500000,4.100000,6.300000,8.300000,2158
2020/03/30 19:00:00+00,5.800000,5.300000,6.900000,0,8.700000,7.600000,6.800000,10,5.700000,7,5.800000,6.600000,8.300000,2159
2020/03/30 20:00:00+00,6.600000,8.100000,10.100000,0,8.900000,6.700000,11.700000,11.200000,8.600000,15.400000,9,7.300000,8.200000,2160
2020/03/30 21:00:00+00,7.700000,10.600000,11.800000,3.100000,10,10.100000,12.600000,14.800000,8.300000,8.600000,11.300000,7.800000,10.100000,2161
2020/03/30 22:00:00+00,9.600000,9.200000,11.800000,5.200000,13,7.300000,8.700000,13.400000,15.300000,13.500000,14.300000,7.300000,11.300000,2162
2020/03/30 23:00:00+00,8.800000,6.200000,10.700000,5.900000,10.700000,8,12.500000,13.300000,9.300000,16.900000,14.600000,14,14.200000,2163
2020/03/31 00:00:00+00,11.500000,8.300000,8.200000,4,11.600000,6.900000,9.400000,11.300000,11.400000,13.300000,11.500000,13,11.600000,2164
2020/03/31 01:00:00+00,11.200000,7.400000,7.600000,4.400000,11.800000,9.300000,13.200000,14.400000,10,14.700000,11.100000,11.500000,11.700000,2165
2020/03/31 02:00:00+00,10.500000,9.400000,7,4.300000,11.900000,9.500000,14.500000,14.100000,10.900000,10.800000,10.500000,16.500000,12.500000,2166
2020/03/31 03:00:00+00,11.200000,11.700000,10.300000,5.300000,10.600000,13.400000,12.700000,18.400000,10.600000,13,10.400000,8.100000,13.500000,2167
2020/03/31 04:00:00+00,11.700000,11.300000,8.500000,8.500000,10,14,13.900000,13.700000,10.400000,15.900000,10.900000,9.300000,13.600000,2168
2020/03/31 05:00:00+00,12.200000,16.300000,8.500000,8.700000,10.500000,14.200000,17.700000,13,12.200000,19.800000,12.200000,10.900000,9.200000,2169
2020/03/31 06:00:00+00,14.200000,14.600000,11.600000,12.300000,13,15.400000,14.200000,12.700000,15.300000,18.200000,12.800000,11.400000,16.500000,2170
2020/03/31 07:00:00+00,14.900000,15.800000,9.800000,13.900000,12.400000,12.800000,20.700000,17.900000,14.800000,13.300000,13.800000,13.500000,14.700000,2171
2020/03/31 08:00:00+00,16.700000,22.500000,14.900000,11.600000,14,18.700000,17,16.100000,21.200000,13.500000,16.100000,14.600000,10.500000,2172
2020/03/31 09:00:00+00,13.700000,9.700000,10.900000,10.800000,9.200000,11.800000,11,14.800000,10.400000,21.600000,13.700000,12.300000,11.800000,2173
2020/03/31 10:00:00+00,10.700000,11.600000,11.800000,8.400000,9.900000,13.700000,10.600000,12.600000,9.200000,14.500000,10.900000,9.200000,9.600000,2174
2020/03/31 11:00:00+00,10.600000,11.100000,11.400000,8.600000,9.300000,11.600000,12.100000,9.900000,6.900000,8.600000,9.700000,11.400000,9.900000,2175
2020/03/31 12:00:00+00,9.900000,10.800000,8,5.600000,9.700000,8.400000,10.200000,9.700000,11.200000,11.100000,9.400000,8.100000,8.700000,2176
2020/03/31 13:00:00+00,7.600000,10.100000,6.400000,5.200000,9.400000,6.700000,8.900000,8.400000,9,14.300000,9.700000,4.900000,9.700000,2177
2020/03/31 14:00:00+00,8.900000,9,8.600000,5.700000,12.500000,5.500000,9,8.600000,6.900000,10.100000,9.300000,3.800000,8.700000,2178
2020/03/31 15:00:00+00,10.200000,10.100000,9.300000,7.300000,12.800000,7.700000,8.900000,7.400000,7.800000,9.700000,11.100000,11.700000,9.600000,2179
2020/03/31 16:00:00+00,8.700000,11.100000,14.700000,4.600000,11.500000,7.400000,9.100000,9,11.800000,16,11.900000,9.600000,9.800000,2180
2020/03/31 17:00:00+00,7.700000,7.900000,12.700000,2.300000,10,6,9.700000,10.400000,13.200000,14.400000,12.400000,9.300000,8.100000,2181
2020/03/31 18:00:00+00,7.500000,10.200000,11.800000,6.500000,12.100000,9,9.500000,10.400000,9.300000,11.300000,12.600000,7.500000,5.300000,2182
